YEAR;MONTH;DAY;Customer;Salesorg;Country;OrderNumber;OrderItem;Product;ProductCategory;Division;SalesQuantity;Revenue;Discount;Cogm
2007;1;1;5000;UE00;US;100001;10;DXTR2000;TOU;BI;2;6000;300;2800
2007;1;1;5000;UE00;US;100001;20;PRTR2000;TOU;BI;5;16000;800;7500
2007;1;1;5000;UE00;US;100001;30;ORMN1000;ORB;BI;1;2400;120;1200
2007;1;1;5000;UE00;US;100001;40;ORHT1000;ORB;BI;1;1600;80;900
2007;1;1;5000;UE00;US;100001;50;DXRD1000;ROB;BI;7;11900;595;7000
2007;1;1;5000;UE00;US;100001;60;DXRD2000;ROB;BI;2;3300;165;1900
2007;1;1;5000;UE00;US;100001;70;PRRD1000;ROB;BI;2;8000;400;4400
2007;1;1;5000;UE00;US;100001;80;OHMT1000;ACC;AS;1;50;2,5;25
2007;1;1;5000;UE00;US;100001;90;CAGE1000;ACC;AS;1;18;0,9;9
2007;1;1;5000;UE00;US;100001;100;RKIT1000;ACC;AS;1;32;1,6;16
2007;1;1;5000;UE00;US;100001;110;PUMP1000;ACC;AS;13;364;18,2;182
2007;1;1;5000;UE00;US;100001;120;FAID1000;ACC;AS;7;280;14;140
2007;1;1;15000;DS00;DE;100002;10;DXTR1000;TOU;BI;2;6600;330;2800
2007;1;1;15000;DS00;DE;100002;20;DXTR2000;TOU;BI;1;3300;165;1400
2007;1;1;15000;DS00;DE;100002;30;PRTR2000;TOU;BI;3;10559,98;528;4500
2007;1;1;15000;DS00;DE;100002;40;PRTR3000;TOU;BI;2;7039,99;352;3000
2007;1;1;15000;DS00;DE;100002;50;ORMN1000;ORB;BI;1;2640;132;1200
2007;1;1;15000;DS00;DE;100002;60;ORWN1000;ORB;BI;2;5499,99;275;2500
2007;1;1;15000;DS00;DE;100002;70;ORHT1000;ORB;BI;1;1760;87,99;900
2007;1;1;15000;DS00;DE;100002;80;DXRD1000;ROB;BI;1;1870,01;93,5;1000
2007;1;1;15000;DS00;DE;100002;90;DXRD2000;ROB;BI;1;1815;90,75;950
2007;1;1;15000;DS00;DE;100002;100;SHRT1000;ACC;AS;1;33;1,66;15
2007;1;1;15000;DS00;DE;100002;110;RHMT1000;ACC;AS;1;55;2,75;25
2007;1;1;15000;DS00;DE;100002;120;CAGE1000;ACC;AS;4;79,17;3,96;36
2007;1;1;15000;DS00;DE;100002;130;RKIT1000;ACC;AS;1;35,2;1,76;16
2007;1;1;15000;DS00;DE;100002;140;BOTL1000;ACC;AS;1;22;1,1;10
2007;1;1;15000;DS00;DE;100002;150;FAID1000;ACC;AS;5;220,02;11;100
2007;1;1;16000;DN00;DE;100003;10;DXTR1000;TOU;BI;1;3300;98,99;1400
2007;1;1;16000;DN00;DE;100003;20;DXTR2000;TOU;BI;4;13200,01;396,01;5600
2007;1;1;16000;DN00;DE;100003;30;DXTR3000;TOU;BI;2;6600;198;2800
2007;1;1;16000;DN00;DE;100003;40;PRTR1000;TOU;BI;1;3519,99;105,61;1500
2007;1;1;16000;DN00;DE;100003;50;PRTR2000;TOU;BI;4;14079,97;422,4;6000
2007;1;1;16000;DN00;DE;100003;60;PRTR3000;TOU;BI;2;7039,99;211,2;3000
2007;1;1;16000;DN00;DE;100003;70;ORMN1000;ORB;BI;4;10560,01;316,8;4800
2007;1;1;16000;DN00;DE;100003;80;ORHT1000;ORB;BI;3;5279,99;158,4;2700
2007;1;1;16000;DN00;DE;100003;90;ORHT2000;ORB;BI;7;13090,04;392,71;6650
2007;1;1;16000;DN00;DE;100003;100;DXRD1000;ROB;BI;2;3740,01;112,2;2000
2007;1;1;16000;DN00;DE;100003;110;DXRD2000;ROB;BI;2;3630;108,9;1900
2007;1;1;16000;DN00;DE;100003;120;PRRD1000;ROB;BI;2;8800;263,99;4400
2007;1;1;16000;DN00;DE;100003;130;SHRT1000;ACC;AS;2;66,01;1,98;30
2007;1;1;16000;DN00;DE;100003;140;KPAD1000;ACC;AS;1;82,5;2,48;37,5
2007;1;1;16000;DN00;DE;100003;150;OHMT1000;ACC;AS;1;55;1,66;25
2007;1;1;16000;DN00;DE;100003;160;RHMT1000;ACC;AS;1;55;1,66;25
2007;1;1;16000;DN00;DE;100003;170;CAGE1000;ACC;AS;5;98,97;2,98;45
2007;1;1;16000;DN00;DE;100003;180;PUMP1000;ACC;AS;6;184,77;5,55;84
2007;1;1;16000;DN00;DE;100003;190;BOTL1000;ACC;AS;1;22;0,66;10
2007;1;1;16000;DN00;DE;100003;200;FAID1000;ACC;AS;6;264,02;7,92;120
2007;1;1;19000;DN00;DE;100004;10;DXTR2000;TOU;BI;2;6600;0;2800
2007;1;1;19000;DN00;DE;100004;20;DXTR3000;TOU;BI;1;3300;0;1400
2007;1;1;19000;DN00;DE;100004;30;PRTR1000;TOU;BI;1;3519,99;0;1500
2007;1;1;19000;DN00;DE;100004;40;PRTR3000;TOU;BI;1;3519,99;0;1500
2007;1;1;19000;DN00;DE;100004;50;ORMN1000;ORB;BI;1;2640;0;1200
2007;1;1;19000;DN00;DE;100004;60;ORHT1000;ORB;BI;1;1760;0;900
2007;1;1;19000;DN00;DE;100004;70;ORHT2000;ORB;BI;4;7480,02;0;3800
2007;1;1;19000;DN00;DE;100004;80;DXRD2000;ROB;BI;1;1815;0;950
2007;1;1;19000;DN00;DE;100004;90;PRRD1000;ROB;BI;1;4400;0;2200
2007;1;1;19000;DN00;DE;100004;100;OHMT1000;ACC;AS;1;55;0;25
2007;1;1;19000;DN00;DE;100004;110;RHMT1000;ACC;AS;1;55;0;25
2007;1;1;19000;DN00;DE;100004;120;CAGE1000;ACC;AS;3;59,38;0;27
2007;1;1;19000;DN00;DE;100004;130;RKIT1000;ACC;AS;1;35,2;0;16
2007;1;1;19000;DN00;DE;100004;140;PUMP1000;ACC;AS;4;123,18;0;56
2007;1;1;19000;DN00;DE;100004;150;BOTL1000;ACC;AS;1;22;0;10
2007;1;1;19000;DN00;DE;100004;160;FAID1000;ACC;AS;1;44;0;20
2007;1;2;4000;UE00;US;100005;10;ORMN1000;ORB;BI;1;2400;72;1200
2007;1;2;4000;UE00;US;100005;20;ORHT1000;ORB;BI;1;1600;48;900
2007;1;2;4000;UE00;US;100005;30;DXRD1000;ROB;BI;1;1700;51;1000
2007;1;2;4000;UE00;US;100005;40;CAGE1000;ACC;AS;1;18;0,54;9
2007;1;2;4000;UE00;US;100005;50;FAID1000;ACC;AS;5;200;6;100
2007;1;2;6000;UE00;US;100006;10;DXTR2000;TOU;BI;1;3000;90;1400
2007;1;2;6000;UE00;US;100006;20;PRTR2000;TOU;BI;1;3200;96;1500
2007;1;2;6000;UE00;US;100006;30;DXRD1000;ROB;BI;3;5100;153;3000
2007;1;2;6000;UE00;US;100006;40;PRRD1000;ROB;BI;2;8000;240;4400
2007;1;2;17000;DN00;DE;100007;10;DXTR2000;TOU;BI;1;3300;98,99;1400
2007;1;2;17000;DN00;DE;100007;20;ORMN1000;ORB;BI;1;2640;79,2;1200
2007;1;2;17000;DN00;DE;100007;30;ORHT1000;ORB;BI;1;1760;52,8;900
2007;1;2;17000;DN00;DE;100007;40;ORHT2000;ORB;BI;1;1870,01;56,1;950
2007;1;2;17000;DN00;DE;100007;50;DXRD1000;ROB;BI;2;3740,01;112,2;2000
2007;1;2;17000;DN00;DE;100007;60;PRRD1000;ROB;BI;1;4400;132;2200
2007;1;2;17000;DN00;DE;100007;70;PUMP1000;ACC;AS;5;153,97;4,62;70
2007;1;2;17000;DN00;DE;100007;80;FAID1000;ACC;AS;7;308,03;9,24;140
2007;1;2;18000;DN00;DE;100008;10;DXTR2000;TOU;BI;1;3300;0;1400
2007;1;2;18000;DN00;DE;100008;20;DXRD1000;ROB;BI;1;1870,01;0;1000
2007;1;2;18000;DN00;DE;100008;30;PRRD1000;ROB;BI;1;4400;0;2200
2007;1;2;18000;DN00;DE;100008;40;CAGE1000;ACC;AS;2;39,59;0;18
2007;1;2;18000;DN00;DE;100008;50;PUMP1000;ACC;AS;3;92,38;0;42
2007;1;2;18000;DN00;DE;100008;60;FAID1000;ACC;AS;1;44;0;20
2007;1;3;4000;UE00;US;100009;10;DXTR2000;TOU;BI;1;3000;90;1400
2007;1;3;4000;UE00;US;100009;20;DXTR3000;TOU;BI;1;3000;90;1400
2007;1;3;4000;UE00;US;100009;30;PRTR1000;TOU;BI;1;3200;96;1500
2007;1;3;4000;UE00;US;100009;40;PRTR3000;TOU;BI;1;3200;96;1500
2007;1;3;4000;UE00;US;100009;50;ORMN1000;ORB;BI;1;2400;72;1200
2007;1;3;4000;UE00;US;100009;60;ORHT1000;ORB;BI;1;1600;48;900
2007;1;3;4000;UE00;US;100009;70;ORHT2000;ORB;BI;2;3400;102;1900
2007;1;3;4000;UE00;US;100009;80;DXRD1000;ROB;BI;2;3400;102;2000
2007;1;3;4000;UE00;US;100009;90;SHRT1000;ACC;AS;1;30;0,9;15
2007;1;3;4000;UE00;US;100009;100;RHMT1000;ACC;AS;1;50;1,5;25
2007;1;3;4000;UE00;US;100009;110;CAGE1000;ACC;AS;2;36;1,08;18
2007;1;3;4000;UE00;US;100009;120;RKIT1000;ACC;AS;1;32;0,96;16
2007;1;3;4000;UE00;US;100009;130;PUMP1000;ACC;AS;3;84;2,52;42
2007;1;3;4000;UE00;US;100009;140;BOTL1000;ACC;AS;1;20;0,6;10
2007;1;3;4000;UE00;US;100009;150;FAID1000;ACC;AS;2;80;2,4;40
2007;1;3;22000;DS00;DE;100010;10;DXTR3000;TOU;BI;1;3300;98,99;1400
2007;1;3;22000;DS00;DE;100010;20;PRTR2000;TOU;BI;3;10559,98;316,8;4500
2007;1;3;22000;DS00;DE;100010;30;DXRD1000;ROB;BI;4;7480,02;224,39;4000
2007;1;3;22000;DS00;DE;100010;40;CAGE1000;ACC;AS;3;59,38;1,78;27
2007;1;3;22000;DS00;DE;100010;50;RKIT1000;ACC;AS;1;35,2;1,05;16
2007;1;3;22000;DS00;DE;100010;60;PUMP1000;ACC;AS;8;246,36;7,39;112
2007;1;3;24000;DN00;DE;100011;10;CAGE1000;ACC;AS;1;19,79;0;9
2007;1;3;24000;DN00;DE;100011;20;PUMP1000;ACC;AS;2;61,59;0;28
2007;1;4;9000;UW00;US;100012;10;DXTR1000;TOU;BI;1;3000;90;1400
2007;1;4;9000;UW00;US;100012;20;DXTR2000;TOU;BI;1;3000;90;1400
2007;1;4;9000;UW00;US;100012;30;PRTR2000;TOU;BI;1;3200;96;1500
2007;1;4;9000;UW00;US;100012;40;PRTR3000;TOU;BI;1;3200;96;1500
2007;1;4;9000;UW00;US;100012;50;ORMN1000;ORB;BI;2;4800;144;2400
2007;1;4;9000;UW00;US;100012;60;ORHT1000;ORB;BI;3;4800;144;2700
2007;1;4;9000;UW00;US;100012;70;ORHT2000;ORB;BI;1;1700;51;950
2007;1;4;9000;UW00;US;100012;80;DXRD1000;ROB;BI;2;3400;102;2000
2007;1;4;9000;UW00;US;100012;90;PRRD1000;ROB;BI;1;4000;120;2200
2007;1;4;9000;UW00;US;100012;100;CAGE1000;ACC;AS;1;18;0,54;9
2007;1;4;9000;UW00;US;100012;110;PUMP1000;ACC;AS;6;168;5,04;84
2007;1;4;9000;UW00;US;100012;120;FAID1000;ACC;AS;2;80;2,4;40
2007;1;4;15000;DS00;DE;100013;10;PRTR2000;TOU;BI;1;3519,99;176;1500
2007;1;4;15000;DS00;DE;100013;20;ORMN1000;ORB;BI;1;2640;132;1200
2007;1;4;15000;DS00;DE;100013;30;ORWN1000;ORB;BI;1;2750;137,5;1250
2007;1;4;15000;DS00;DE;100013;40;DXRD1000;ROB;BI;1;1870,01;93,5;1000
2007;1;4;15000;DS00;DE;100013;50;CAGE1000;ACC;AS;1;19,79;1;9
2007;1;4;15000;DS00;DE;100013;60;FAID1000;ACC;AS;2;88,01;4,4;40
2007;1;4;23000;DN00;DE;100014;10;DXTR2000;TOU;BI;2;6600;198;2800
2007;1;4;23000;DN00;DE;100014;20;PRTR2000;TOU;BI;2;7039,99;211,2;3000
2007;1;4;23000;DN00;DE;100014;30;ORHT1000;ORB;BI;1;1760;52,8;900
2007;1;4;23000;DN00;DE;100014;40;ORHT2000;ORB;BI;4;7480,02;224,39;3800
2007;1;4;23000;DN00;DE;100014;50;PRRD1000;ROB;BI;1;4400;132;2200
2007;1;4;23000;DN00;DE;100014;60;CAGE1000;ACC;AS;1;19,79;0,59;9
2007;1;4;23000;DN00;DE;100014;70;FAID1000;ACC;AS;2;88,01;2,64;40
2007;1;5;2000;UE00;US;100015;10;DXTR2000;TOU;BI;2;6000;180;2800
2007;1;5;2000;UE00;US;100015;20;DXTR3000;TOU;BI;1;3000;90;1400
2007;1;5;2000;UE00;US;100015;30;PRTR1000;TOU;BI;1;3200;96;1500
2007;1;5;2000;UE00;US;100015;40;PRTR2000;TOU;BI;2;6400;192;3000
2007;1;5;2000;UE00;US;100015;50;PRTR3000;TOU;BI;1;3200;96;1500
2007;1;5;2000;UE00;US;100015;60;ORMN1000;ORB;BI;2;4800;144;2400
2007;1;5;2000;UE00;US;100015;70;ORWN1000;ORB;BI;1;2500;75;1250
2007;1;5;2000;UE00;US;100015;80;ORHT1000;ORB;BI;1;1600;48;900
2007;1;5;2000;UE00;US;100015;90;ORHT2000;ORB;BI;2;3400;102;1900
2007;1;5;2000;UE00;US;100015;100;DXRD1000;ROB;BI;2;3400;102;2000
2007;1;5;2000;UE00;US;100015;110;DXRD2000;ROB;BI;1;1650;49,5;950
2007;1;5;2000;UE00;US;100015;120;PRRD1000;ROB;BI;1;4000;120;2200
2007;1;5;2000;UE00;US;100015;130;SHRT1000;ACC;AS;1;30;0,9;15
2007;1;5;2000;UE00;US;100015;140;OHMT1000;ACC;AS;1;50;1,5;25
2007;1;5;2000;UE00;US;100015;150;RHMT1000;ACC;AS;1;50;1,5;25
2007;1;5;2000;UE00;US;100015;160;CAGE1000;ACC;AS;2;36;1,08;18
